etudiant_id,niveau,filiere,moy_semestre_prec,note_cc1,note_cc2,note_cc3,taux_absence,nb_echecs_anterieurs,evolution_notes,participation,a_risque
ETU00059,M1,Médecine,16.15,14.24,14.13,16.5,26.78,3,2.26,2.08,0
ETU00060,M2,Droit,18.2,6.99,6.94,6.63,20.65,2,-0.36,0.43,0
ETU00061,M2,Informatique,15.47,6.56,4.76,5.7,38.67,2,-0.86,6.92,1
ETU00062,L3,Gestion,11.74,6.85,6.75,7.11,20.07,2,0.26,0.22,0
ETU00063,L3,Médecine,17.4,6.09,4.39,2.96,33.53,2,-3.13,9.71,0
ETU00064,M2,Médecine,12.86,17.24,14.67,14.69,10.5,1,-2.55,3.5,0
ETU00065,M2,Médecine,15.68,18.22,16.79,17.97,32.25,0,-0.25,0.07,0
ETU00066,L1,Médecine,16.67,5.65,8.11,7.67,39.86,0,2.01,8.85,1
ETU00067,L3,Gestion,15.74,15.64,15.44,15.25,36.4,3,-0.39,6.0,0
ETU00068,M2,Ingénierie,9.74,15.32,15.85,15.89,12.16,3,0.57,8.17,0
ETU00069,L1,Médecine,7.53,18.96,18.39,20.0,33.85,1,1.04,4.35,0
ETU00070,M2,Gestion,9.1,9.87,7.38,4.93,3.81,1,-4.94,3.54,0
ETU00071,M1,Droit,12.54,9.0,10.6,11.65,27.11,2,2.66,6.55,0
ETU00072,L1,Ingénierie,12.57,11.34,8.28,8.2,13.69,3,-3.14,4.06,0
ETU00073,M1,Informatique,13.57,16.99,16.36,15.7,26.35,2,-1.29,5.56,0
ETU00074,L3,Gestion,11.14,15.2,15.32,15.2,16.49,2,0.0,2.78,0
ETU00075,L2,Informatique,16.23,11.6,12.15,13.45,0.36,0,1.85,3.33,0
ETU00076,M1,Gestion,17.87,8.42,7.53,8.92,9.25,2,0.5,0.82,0
ETU00077,M1,Gestion,9.21,15.18,12.62,13.2,1.7,3,-1.98,7.81,0
ETU00078,M2,Ingénierie,15.57,16.96,15.96,17.9,17.09,2,0.94,3.49,0
ETU00079,L3,Ingénierie,14.81,10.6,9.68,11.88,33.6,4,1.28,9.75,0
ETU00080,L1,Ingénierie,12.8,14.36,13.4,14.93,29.52,3,0.56,2.6,0
ETU00081,M2,Gestion,8.45,10.6,12.26,11.74,31.56,4,1.14,4.75,0
ETU00082,L2,Ingénierie,16.34,11.7,10.08,11.12,32.29,2,-0.58,3.06,0
ETU00083,M1,Informatique,18.49,12.35,13.0,14.05,14.88,2,1.7,6.94,0
ETU00084,M1,Informatique,15.38,15.86,16.3,15.37,20.24,2,-0.49,8.08,0
ETU00085,L1,Gestion,17.93,18.69,20.0,18.27,20.34,1,-0.41,4.87,0
ETU00086,L3,Gestion,18.79,11.22,11.22,8.49,4.53,2,-2.73,3.67,0
ETU00087,L1,Ingénierie,10.58,9.79,11.18,11.58,23.93,0,1.79,7.45,0
ETU00088,M1,Médecine,14.3,10.23,10.17,10.92,28.81,2,0.69,1.91,0
ETU00089,M1,Médecine,12.16,6.87,7.73,6.25,24.44,0,-0.62,5.99,0
ETU00090,L3,Ingénierie,18.83,9.16,7.1,8.97,29.84,2,-0.19,7.34,0
ETU00091,L2,Médecine,7.22,6.21,2.45,2.98,4.76,4,-3.23,2.69,0
ETU00092,M2,Droit,11.36,10.99,11.76,14.08,30.46,2,3.09,6.56,0
ETU00093,L1,Informatique,17.38,7.34,8.19,9.05,8.33,3,1.7,7.35,0
ETU00094,L1,Informatique,9.69,9.85,10.76,9.46,35.07,2,-0.39,1.17,1
ETU00095,L2,Ingénierie,16.24,16.11,15.52,16.51,9.8,4,0.4,3.24,0
ETU00096,M2,Droit,10.98,8.44,10.88,12.18,19.68,1,3.74,4.06,0
ETU00097,M2,Ingénierie,18.74,13.57,13.08,12.56,19.49,4,-1.01,7.76,0
ETU00098,L3,Informatique,17.49,17.62,18.45,16.58,10.75,3,-1.03,5.68,0
ETU00099,M2,Médecine,9.92,12.94,14.03,14.48,14.47,4,1.54,4.5,0
ETU00100,M2,Gestion,16.01,7.71,10.49,9.29,7.42,0,1.58,3.19,0
ETU00101,L3,Gestion,10.38,9.83,9.55,11.53,22.8,4,1.71,0.04,0
ETU00102,L1,Médecine,13.88,13.27,12.49,12.17,36.52,4,-1.09,0.2,0
ETU00103,M2,Droit,14.56,12.09,10.05,12.93,12.66,1,0.84,2.4,0
ETU00104,M1,Informatique,16.78,7.08,9.61,6.72,20.32,3,-0.36,1.17,0
ETU00105,L1,Ingénierie,6.32,11.26,12.09,12.59,34.48,2,1.33,1.2,1
ETU00106,M2,Médecine,8.86,12.6,13.48,15.93,18.1,0,3.32,6.03,0
ETU00107,L2,Gestion,15.25,8.74,13.62,12.58,33.25,2,3.84,6.05,0
ETU00108,M1,Médecine,13.33,13.57,14.26,14.32,17.86,3,0.75,0.45,0
ETU00109,L2,Informatique,12.44,5.98,4.23,3.92,17.61,1,-2.06,5.94,0
ETU00110,L1,Droit,6.72,9.71,9.62,8.89,6.29,1,-0.82,1.46,0
ETU00111,L3,Droit,10.53,16.26,15.0,15.66,5.0,2,-0.6,3.77,0
ETU00112,L3,Gestion,17.25,8.63,8.24,6.59,24.46,4,-2.04,9.9,0
ETU00113,M2,Droit,6.4,13.47,13.07,13.2,33.09,0,-0.27,5.22,1
ETU00114,L1,Ingénierie,11.15,10.74,10.06,11.13,5.42,4,0.39,0.34,0
ETU00115,M2,Informatique,18.29,9.43,7.54,7.52,36.4,4,-1.91,3.48,1
ETU00116,L1,Droit,6.66,17.83,20.0,19.21,14.36,4,1.39,6.71,0
ETU00117,M2,Ingénierie,15.75,9.81,10.45,12.3,17.01,0,2.49,2.25,0
ETU00118,M1,Ingénierie,9.35,8.31,8.18,9.57,35.78,2,1.26,9.64,1
ETU00119,L2,Ingénierie,17.27,17.73,19.07,17.8,35.85,1,0.07,4.25,0
ETU00120,M2,Droit,15.7,15.44,16.35,14.71,20.99,4,-0.73,0.21,0
ETU00121,L2,Droit,17.51,14.55,15.16,14.03,11.07,3,-0.51,5.41,0
ETU00122,M1,Droit,8.81,5.69,6.92,8.04,6.88,3,2.35,6.76,0
ETU00123,L1,Ingénierie,12.91,6.84,7.24,7.95,10.86,0,1.11,4.56,0
ETU00124,L1,Ingénierie,16.13,13.94,15.14,16.63,31.23,4,2.69,9.28,0
ETU00125,L2,Gestion,9.19,7.93,9.26,9.07,12.98,2,1.14,9.02,0
ETU00126,L2,Informatique,9.0,8.16,8.6,7.52,27.78,0,-0.64,1.39,0
ETU00127,L2,Gestion,6.35,15.91,15.78,17.46,7.81,4,1.55,0.8,0
ETU00128,L2,Gestion,18.46,9.0,11.5,10.97,19.14,4,1.97,3.12,0
ETU00129,M1,Gestion,15.23,6.0,5.49,6.07,14.08,2,0.06,6.08,0
ETU00130,L1,Ingénierie,14.26,5.51,6.3,4.27,20.14,3,-1.24,6.02,0
ETU00131,M1,Gestion,15.67,11.2,12.03,11.47,22.8,3,0.27,2.72,0
ETU00132,M2,Droit,12.91,13.64,12.93,14.74,39.64,1,1.1,9.51,1
ETU00133,M2,Gestion,12.19,17.16,16.15,15.38,36.0,3,-1.79,3.07,0
ETU00134,L1,Gestion,11.84,6.55,6.22,7.74,27.83,4,1.19,8.04,0
ETU00135,M2,Informatique,14.33,7.75,7.22,4.02,6.15,4,-3.73,8.32,0
ETU00136,L1,Ingénierie,8.62,12.42,10.43,9.89,36.76,3,-2.53,0.98,1
ETU00137,L1,Médecine,17.54,10.1,9.32,9.36,35.7,1,-0.73,2.33,0
ETU00138,M1,Informatique,16.55,11.76,12.35,15.27,35.47,4,3.51,2.15,0
ETU00139,M1,Médecine,10.54,17.94,20.0,18.58,19.16,4,0.65,9.2,0
ETU00140,L1,Médecine,13.52,12.63,13.66,14.97,6.83,0,2.34,3.51,0
ETU00141,L3,Gestion,7.83,10.81,7.11,9.0,30.18,1,-1.81,8.36,0
ETU00142,L3,Médecine,18.64,18.85,20.0,19.23,15.54,2,0.38,4.78,0
ETU00143,M1,Ingénierie,17.74,5.91,5.28,5.02,13.78,2,-0.9,4.57,0
ETU00144,L3,Médecine,17.98,18.05,18.93,19.44,15.63,3,1.39,9.03,0
ETU00145,M1,Médecine,10.32,12.02,12.2,10.28,22.36,2,-1.74,4.41,0
ETU00146,L1,Droit,8.2,12.05,11.96,11.58,13.34,0,-0.47,7.45,0
ETU00147,M2,Gestion,8.75,17.91,17.95,20.0,27.6,0,2.09,4.24,0
ETU00148,L3,Informatique,7.17,12.1,12.27,13.35,25.91,3,1.25,1.02,0
ETU00149,M1,Ingénierie,7.56,11.14,13.35,13.42,20.35,3,2.28,0.53,0
ETU00150,L3,Ingénierie,6.93,8.81,8.99,9.45,2.16,3,0.64,2.08,0
ETU00151,L2,Gestion,18.87,14.22,16.05,17.22,37.46,2,3.0,7.22,0
ETU00152,M1,Ingénierie,6.96,12.98,14.58,16.04,16.47,1,3.07,3.74,0
ETU00153,L2,Informatique,7.72,8.0,9.2,8.67,17.98,1,0.67,4.54,0
ETU00154,L2,Gestion,16.75,14.93,12.45,15.05,18.24,3,0.12,1.02,0
ETU00155,L3,Informatique,13.54,14.02,15.89,18.17,14.6,2,4.15,6.23,0
ETU00156,L2,Gestion,16.07,10.56,10.08,11.39,26.98,0,0.83,8.03,0
ETU00157,M2,Gestion,14.2,5.06,6.34,5.37,0.56,1,0.31,6.25,0
ETU00158,M1,Droit,17.47,11.25,9.99,8.76,34.94,4,-2.49,9.85,0
ETU00159,L2,Droit,14.3,5.08,3.51,3.32,4.1,2,-1.77,0.16,0
ETU00160,L1,Informatique,12.79,6.05,9.21,9.61,39.99,4,3.56,0.16,1
ETU00161,L2,Informatique,15.27,11.03,9.79,7.44,25.12,2,-3.59,5.0,0
ETU00162,L1,Ingénierie,11.82,6.15,8.07,9.11,2.65,2,2.96,2.66,0
ETU00163,L2,Droit,10.5,8.86,9.24,11.47,22.5,4,2.61,6.87,0
ETU00164,L2,Ingénierie,12.08,14.18,13.75,14.91,13.25,2,0.73,7.93,0
ETU00165,M1,Informatique,8.21,9.32,9.45,8.74,38.12,0,-0.58,1.02,1
ETU00166,L1,Gestion,16.36,18.97,17.22,16.32,30.22,2,-2.64,9.17,0
ETU00167,L1,Informatique,9.39,17.83,18.01,18.76,20.28,3,0.93,0.3,0
ETU00168,L1,Ingénierie,8.0,13.19,11.77,11.84,17.19,1,-1.35,6.88,0
ETU00169,M2,Informatique,9.2,18.54,18.14,19.11,39.83,2,0.57,3.85,0
ETU00170,M2,Ingénierie,16.95,17.15,18.74,19.94,26.7,4,2.79,6.67,0
ETU00171,L2,Informatique,10.29,9.46,10.05,11.98,20.56,2,2.52,0.98,0
ETU00172,L3,Médecine,14.92,15.49,13.47,12.07,15.92,1,-3.42,9.37,0
ETU00173,L2,Droit,17.13,6.92,8.39,9.03,12.98,0,2.11,9.37,0
ETU00174,L3,Ingénierie,7.01,14.58,14.77,14.53,28.22,2,-0.06,5.19,0
ETU00175,L3,Informatique,15.95,11.88,11.26,11.41,23.52,3,-0.46,5.1,0
ETU00176,L2,Gestion,10.0,5.24,6.56,8.15,33.93,1,2.92,6.35,0
ETU00177,M1,Médecine,8.82,8.84,8.79,10.55,22.14,2,1.71,5.8,0
ETU00178,L1,Ingénierie,14.96,18.38,16.83,19.22,23.29,3,0.85,5.44,0
ETU00179,M1,Droit,17.83,9.42,12.39,13.33,19.09,4,3.91,5.89,0
ETU00180,M1,Informatique,9.84,7.54,7.71,7.85,30.5,4,0.31,8.59,0
ETU00181,L1,Médecine,13.39,7.63,7.7,7.62,16.6,1,-0.0,6.11,0
ETU00182,M1,Droit,9.77,11.71,11.3,9.0,34.08,0,-2.71,1.96,0
ETU00183,M1,Médecine,13.21,16.8,18.77,20.0,13.08,3,3.2,9.14,0
ETU00184,M2,Droit,14.08,15.61,15.02,14.84,27.71,1,-0.77,2.16,0
ETU00185,M2,Ingénierie,13.93,11.12,9.0,10.06,35.72,1,-1.06,1.65,0
ETU00186,L1,Informatique,14.11,7.92,7.1,8.42,30.76,0,0.5,9.97,0
ETU00187,L1,Médecine,7.76,5.64,7.84,6.27,13.7,3,0.62,2.13,0
ETU00188,L1,Médecine,15.02,11.48,12.93,11.84,28.25,0,0.36,1.0,0
ETU00189,L3,Droit,14.77,16.41,16.22,18.84,8.28,1,2.44,5.62,0
ETU00190,M1,Droit,14.87,15.22,17.48,18.21,2.33,2,3.0,8.27,0
ETU00191,M1,Médecine,6.96,10.72,12.04,11.47,31.66,0,0.75,0.61,0
ETU00192,L2,Droit,11.81,13.33,13.13,13.24,32.32,3,-0.09,4.9,0
ETU00193,L2,Gestion,11.32,11.11,11.06,12.99,0.92,3,1.88,0.69,0
ETU00194,L1,Droit,7.13,13.11,13.8,15.5,37.91,2,2.4,4.29,1
ETU00195,L2,Ingénierie,8.89,12.25,11.2,9.3,17.84,0,-2.95,3.44,0
ETU00196,L2,Informatique,11.73,14.53,14.74,17.49,36.21,0,2.96,1.37,0
ETU00197,L2,Ingénierie,15.66,12.11,12.77,14.52,31.53,0,2.41,9.31,0
ETU00198,L1,Gestion,9.08,18.17,15.84,15.91,36.03,3,-2.26,6.35,1
ETU00199,L2,Informatique,16.79,10.99,10.91,9.42,33.34,3,-1.57,8.43,0
ETU00200,M2,Informatique,13.1,5.22,4.97,6.85,38.96,3,1.63,9.06,1
ETU00201,L2,Informatique,15.89,8.31,10.05,11.07,25.16,4,2.76,9.3,0
ETU00202,M2,Ingénierie,12.14,12.01,9.44,7.56,9.09,1,-4.45,7.48,0
ETU00203,L1,Gestion,12.49,12.57,12.2,12.15,15.58,0,-0.42,3.07,0
ETU00204,M1,Médecine,14.06,12.73,12.21,17.2,30.08,1,4.47,8.29,0
ETU00205,L1,Informatique,18.06,15.0,16.64,16.97,6.28,3,1.96,5.2,0
ETU00206,L2,Droit,12.39,8.85,8.98,8.17,37.19,3,-0.68,2.72,1
ETU00207,M2,Droit,12.87,14.31,17.2,15.99,8.21,2,1.68,3.86,0
ETU00208,M1,Médecine,13.83,14.86,16.05,19.01,35.04,0,4.15,3.01,0
ETU00209,L3,Ingénierie,15.59,10.76,10.34,11.91,19.35,3,1.16,4.66,0
ETU00210,M1,Médecine,6.93,10.63,11.19,13.6,33.62,4,2.97,7.81,0
ETU00211,M1,Médecine,12.7,7.5,7.17,7.85,38.33,1,0.34,4.85,0
ETU00212,M1,Gestion,12.26,10.8,12.28,14.47,16.89,4,3.67,2.68,0
ETU00213,L3,Informatique,17.98,16.02,14.22,13.24,27.86,3,-2.77,0.87,0
ETU00214,L3,Informatique,12.42,17.73,16.69,17.23,9.07,4,-0.49,8.56,0
ETU00215,L1,Gestion,12.09,13.31,14.19,14.92,32.03,3,1.61,4.17,0
ETU00216,M2,Droit,18.51,9.19,11.23,13.6,32.8,0,4.41,4.42,0
ETU00217,L3,Informatique,11.86,14.55,11.45,12.23,11.81,3,-2.32,7.64,0
ETU00218,L2,Gestion,8.35,15.36,17.62,16.99,0.97,0,1.62,8.5,0
ETU00219,L1,Médecine,8.82,9.65,9.64,10.04,17.25,1,0.39,5.11,0
ETU00220,M1,Ingénierie,7.24,16.57,13.95,11.73,6.8,4,-4.84,6.32,0
ETU00221,M1,Ingénierie,6.01,6.03,1.73,0.0,32.74,4,-6.03,2.39,1
ETU00222,M2,Gestion,11.62,5.15,3.06,4.6,10.44,2,-0.55,9.35,0
ETU00223,M2,Informatique,16.0,6.72,6.89,6.63,37.75,1,-0.09,5.68,1
ETU00224,M2,Droit,15.54,7.18,7.29,7.19,38.87,1,0.01,7.2,1
ETU00225,M1,Ingénierie,6.42,17.31,18.45,20.0,36.35,1,2.69,1.14,0
ETU00226,M2,Droit,13.41,10.95,10.33,12.72,23.98,2,1.77,6.37,0
ETU00227,L1,Ingénierie,8.01,8.85,7.39,8.49,10.7,2,-0.36,3.69,0
ETU00228,L2,Médecine,18.23,11.01,10.59,13.78,32.29,0,2.77,4.5,0
ETU00229,L3,Ingénierie,8.18,10.53,10.78,11.83,28.06,3,1.3,6.82,0
ETU00230,M1,Ingénierie,14.15,9.22,9.77,10.52,39.09,3,1.3,7.96,0
ETU00231,L2,Informatique,10.24,6.93,5.95,6.61,15.09,3,-0.32,3.49,0
ETU00232,L2,Droit,14.34,14.18,15.73,14.11,2.35,4,-0.08,8.73,0
ETU00233,M2,Informatique,11.36,6.91,6.18,7.91,39.94,3,1.0,2.19,1
ETU00234,M1,Informatique,15.88,15.86,14.75,11.38,33.53,3,-4.47,5.63,0
ETU00235,M1,Droit,9.0,7.82,7.21,6.63,8.86,1,-1.19,1.51,0
ETU00236,L1,Médecine,17.78,15.24,17.05,17.39,29.03,2,2.15,2.89,0
ETU00237,L3,Ingénierie,12.5,16.28,16.28,15.39,0.03,2,-0.88,8.95,0
ETU00238,L3,Informatique,15.83,6.75,5.91,5.54,22.31,4,-1.22,0.12,0
ETU00239,M1,Informatique,17.05,6.21,7.8,10.86,14.51,2,4.65,9.16,0
ETU00240,M2,Informatique,18.98,18.29,20.0,20.0,15.25,3,1.71,3.28,0
ETU00241,L2,Ingénierie,8.91,11.48,12.0,11.27,9.78,2,-0.21,6.96,0
ETU00242,M2,Médecine,9.73,13.82,15.87,15.47,10.99,0,1.65,0.92,0
ETU00243,M1,Droit,9.26,5.33,7.08,5.46,18.19,4,0.14,6.41,0
ETU00244,L3,Informatique,9.42,8.9,8.19,9.55,9.93,3,0.65,9.09,0
ETU00245,M2,Gestion,13.57,12.08,12.32,12.24,18.66,1,0.17,5.55,0
ETU00246,L1,Informatique,18.92,17.41,15.68,13.03,23.09,0,-4.37,3.62,0
ETU00247,M1,Informatique,18.87,8.8,8.69,9.14,28.44,4,0.34,7.94,0
ETU00248,L2,Droit,12.85,15.85,15.11,16.07,27.09,1,0.22,7.13,0
ETU00249,M1,Droit,14.31,14.27,13.87,15.61,9.68,0,1.34,1.18,0
ETU00250,L1,Droit,17.18,6.61,5.69,5.88,1.57,3,-0.73,6.66,0
ETU00251,M1,Ingénierie,18.13,9.11,8.88,8.62,33.31,0,-0.49,6.65,0
ETU00252,L1,Ingénierie,8.65,8.33,9.33,12.61,34.89,1,4.28,7.52,0
ETU00253,L2,Informatique,12.87,11.2,11.22,11.53,39.16,4,0.33,3.16,1
ETU00254,M2,Gestion,16.83,13.89,11.3,12.68,38.39,0,-1.22,4.01,0
ETU00255,M1,Droit,9.94,11.07,10.15,9.64,25.35,3,-1.43,9.6,0
ETU00256,L3,Droit,11.72,8.42,6.34,7.68,35.77,3,-0.74,5.73,1
ETU00257,L2,Droit,18.81,14.74,15.31,13.42,17.92,1,-1.32,5.09,0
ETU00258,L1,Médecine,18.81,13.18,14.14,13.74,31.49,1,0.56,9.87,0
ETU00259,L1,Informatique,17.78,12.27,12.86,11.34,38.21,2,-0.93,2.3,0
ETU00260,M1,Ingénierie,16.38,12.76,11.78,11.17,31.85,2,-1.59,3.98,0
ETU00261,L2,Gestion,9.5,8.11,8.68,10.85,16.63,4,2.75,7.6,0
ETU00262,L1,Gestion,10.17,14.53,14.02,13.4,15.11,1,-1.12,7.13,0
ETU00263,L3,Gestion,13.11,10.43,8.92,10.3,11.66,2,-0.13,9.67,0
ETU00264,L2,Médecine,13.29,10.09,11.4,13.98,14.68,3,3.89,6.54,0
ETU00265,M2,Médecine,12.57,7.1,8.52,8.78,32.82,0,1.69,3.13,0
ETU00266,L2,Médecine,14.28,13.36,14.98,16.77,28.06,4,3.41,3.98,0
ETU00267,L2,Droit,11.31,13.44,12.72,13.82,10.0,4,0.38,0.9,0
ETU00268,L1,Gestion,15.74,9.76,11.73,12.21,28.46,0,2.44,9.24,0
ETU00269,L1,Médecine,10.34,17.04,16.5,17.92,15.18,1,0.89,1.29,0
ETU00270,L3,Informatique,10.3,16.84,18.02,20.0,22.31,3,3.16,5.46,0
ETU00271,L2,Gestion,7.65,6.53,5.96,5.3,14.81,4,-1.22,4.01,0
ETU00272,M1,Médecine,8.45,14.73,14.59,13.46,20.87,0,-1.27,1.34,0
ETU00273,M2,Médecine,17.06,10.51,7.08,5.86,29.19,4,-4.66,2.93,0
ETU00274,L3,Gestion,11.8,19.0,18.74,20.0,29.25,1,1.0,6.34,0
ETU00275,L2,Gestion,8.96,8.15,8.49,10.48,30.13,1,2.33,0.31,0
ETU00276,M2,Gestion,15.87,8.93,8.51,8.01,15.64,1,-0.92,9.66,0
ETU00277,M2,Ingénierie,13.2,11.19,14.02,11.12,27.62,3,-0.07,9.09,0
ETU00278,M2,Droit,6.28,8.76,7.22,6.51,9.55,1,-2.26,0.85,0
ETU00279,M2,Informatique,10.11,14.69,14.04,15.16,19.1,2,0.48,8.68,0
ETU00280,M2,Informatique,8.3,11.73,10.58,10.78,23.32,0,-0.96,3.29,0
ETU00281,M1,Informatique,14.53,8.09,7.45,8.02,27.46,0,-0.08,0.68,0
ETU00282,M2,Gestion,9.58,12.09,13.84,13.35,36.48,3,1.26,3.06,1
ETU00283,L2,Gestion,6.84,17.44,19.86,20.0,12.19,1,2.56,8.09,0
ETU00284,M2,Droit,6.71,16.09,15.24,16.06,33.81,3,-0.04,6.66,0
ETU00285,L1,Médecine,13.56,11.98,11.1,12.28,12.44,3,0.3,2.39,0
ETU00286,M2,Ingénierie,6.28,9.04,7.5,8.04,22.08,4,-1.0,7.19,0
ETU00287,L2,Droit,17.03,7.52,9.68,10.76,33.12,0,3.25,7.08,0
ETU00288,L2,Médecine,8.02,17.3,19.18,20.0,28.93,4,2.7,7.43,0
ETU00289,M1,Médecine,13.89,14.94,14.98,13.89,34.51,4,-1.05,5.41,0
ETU00290,L1,Gestion,11.78,13.01,11.12,11.98,32.6,2,-1.03,8.19,0
ETU00291,M2,Médecine,11.76,17.31,15.55,17.04,11.05,0,-0.27,6.41,0
ETU00292,M1,Gestion,6.93,6.7,7.16,9.19,39.72,0,2.49,1.25,1
ETU00293,L1,Gestion,16.44,14.55,15.58,16.5,37.48,2,1.95,8.1,0
ETU00294,M2,Ingénierie,17.61,8.03,5.13,3.99,17.21,0,-4.05,3.24,0
ETU00295,L1,Ingénierie,6.14,6.69,6.41,5.49,1.89,0,-1.2,7.05,0
ETU00296,M2,Médecine,8.32,11.52,14.15,13.79,12.14,2,2.27,6.75,0
ETU00297,M2,Droit,17.75,10.42,10.3,10.88,33.45,2,0.46,3.36,0
