code_etablissement,type_etablissement,region,taux_reussite_an2,taux_reussite_an1,taux_absence_moyen,ratio_etud_ens,budget_par_etud,nb_labos,taux_rotation_ens,taux_reussite_actuel
ETB023,Institut,Beja,88.83,89.06,6.0,16.46,3732,8,15.48,93.19
ETB024,Faculté,Gabes,85.72,83.25,10.04,18.28,5813,11,21.18,83.28
ETB025,Institut,Beja,81.14,81.02,8.12,35.26,7848,10,13.56,81.78
ETB026,ISET,Sfax,57.79,60.0,17.61,36.4,6935,4,15.2,58.96
ETB027,Institut,Bizerte,68.67,70.55,23.63,38.21,2733,2,16.0,65.96
ETB028,École,Kairouan,51.75,47.33,20.75,40.96,1618,5,8.15,43.87
ETB029,Faculté,Sousse,56.17,57.62,26.28,37.18,1837,9,7.29,50.97
ETB030,ISET,Kairouan,77.32,79.46,8.88,39.03,5372,4,21.69,77.1
ETB031,ISET,Bizerte,79.79,93.38,23.37,16.47,2515,3,21.39,82.74
ETB032,Institut,Sfax,88.7,95.0,9.83,22.04,3003,17,21.57,90.75
ETB033,Faculté,Monastir,63.03,59.77,11.77,33.66,7008,8,5.49,69.6
ETB034,Faculté,Ariana,64.82,64.38,22.75,40.74,7180,12,13.16,66.43
ETB035,École,Beja,68.78,62.47,29.51,15.14,6953,10,9.95,67.14
ETB036,Faculté,Monastir,57.58,55.63,20.29,30.44,3148,14,24.45,52.75
ETB037,ISET,Sfax,55.2,57.77,6.36,35.32,5527,15,26.52,59.06
ETB038,Faculté,Tunis,69.03,76.06,20.41,15.89,5470,6,11.17,72.18
ETB039,École,Gabes,59.08,56.43,6.06,27.04,2704,17,21.7,51.19
ETB040,ISET,Gabes,76.79,74.52,27.1,41.87,5098,8,8.23,69.47
ETB041,ISET,Sousse,67.49,57.75,22.74,35.15,4914,16,11.88,55.9
ETB042,Faculté,Beja,83.31,83.49,9.33,22.13,4075,8,8.47,78.35
ETB043,École,Ariana,78.01,73.7,7.29,40.58,6385,3,12.09,73.62
ETB044,Institut,Monastir,62.49,60.85,9.59,25.44,5904,15,21.87,67.5
ETB045,Institut,Sfax,83.29,79.91,29.5,40.6,4962,1,27.76,75.66
ETB046,ISET,Beja,82.19,82.72,16.46,23.97,6217,15,10.06,88.08
ETB047,ISET,Sousse,65.5,57.71,24.6,32.71,6460,1,18.55,59.52
ETB048,ISET,Gabes,61.53,55.2,20.91,26.91,5185,4,22.53,57.42
ETB049,Faculté,Gabes,77.3,88.95,19.31,23.24,3239,12,28.82,80.56
ETB050,Faculté,Beja,55.59,50.15,8.63,41.6,6429,18,20.25,56.68
ETB051,Institut,Kairouan,58.0,53.51,28.65,20.63,6164,8,11.38,56.22
ETB052,Faculté,Sousse,50.29,60.48,12.53,17.54,7892,3,20.64,59.12
ETB053,École,Bizerte,81.48,95.0,19.45,25.26,2473,5,13.01,88.64
ETB054,Faculté,Bizerte,76.59,71.74,22.49,36.53,4225,18,29.4,72.73
ETB055,ISET,Sousse,78.21,77.37,21.23,39.22,7507,14,14.99,78.0
ETB056,Faculté,Sousse,81.23,83.94,28.51,44.96,4844,2,22.14,75.58
ETB057,Faculté,Sousse,68.36,78.0,8.71,23.89,7627,8,5.58,76.75
ETB058,Faculté,Gabes,72.75,68.82,17.71,27.24,1581,6,15.0,66.06
ETB059,Faculté,Bizerte,55.59,55.37,15.1,19.1,1728,4,26.88,52.37
ETB060,Institut,Bizerte,54.58,59.47,16.85,32.25,6674,17,20.26,58.61
ETB061,École,Monastir,76.74,79.91,7.98,44.93,3829,12,16.1,78.92
ETB062,ISET,Sousse,68.84,67.96,8.35,36.03,4881,4,28.4,69.11
ETB063,École,Nabeul,72.61,72.94,11.95,32.86,4282,13,26.35,74.12
ETB064,Institut,Beja,80.6,74.73,12.62,26.77,4151,8,13.06,79.98
ETB065,Institut,Sousse,75.39,75.2,15.7,42.46,7606,2,18.61,79.21
ETB066,Institut,Kairouan,72.14,71.81,20.27,29.91,2111,9,17.25,65.55
ETB067,ISET,Sousse,72.37,74.53,20.87,19.03,6519,4,20.81,78.0
ETB068,Faculté,Kairouan,62.16,60.38,15.3,25.96,7282,5,13.35,61.78
ETB069,Institut,Bizerte,51.23,54.59,15.22,17.02,5773,17,11.11,59.41
ETB070,ISET,Sfax,67.47,73.53,10.44,21.06,4067,14,27.82,72.31
ETB071,ISET,Tunis,58.58,60.36,19.71,15.53,2540,3,28.1,54.76
ETB072,Institut,Gabes,66.34,69.1,12.93,28.6,5936,17,26.08,65.88
ETB073,Institut,Monastir,84.14,85.4,5.9,34.04,4547,11,29.46,84.92
ETB074,ISET,Kairouan,59.36,60.36,15.46,25.3,2470,17,23.62,54.78
ETB075,Institut,Nabeul,52.33,49.72,16.85,27.61,3837,15,24.12,52.38
ETB076,ISET,Bizerte,61.26,63.84,10.64,43.78,7750,7,24.06,69.32
ETB077,Faculté,Nabeul,61.74,62.26,19.31,37.56,3225,11,17.02,57.75
ETB078,École,Sousse,76.48,87.94,19.14,31.23,2659,11,16.41,82.36
ETB079,Faculté,Ariana,72.28,81.15,22.55,23.54,5932,14,11.01,77.6
ETB080,Faculté,Beja,81.36,84.29,21.2,41.91,2797,5,21.12,77.0
ETB081,École,Tunis,76.57,73.76,21.31,22.05,7479,7,12.23,78.08
ETB082,Faculté,Jendouba,66.26,61.69,12.91,24.76,7083,5,11.45,65.47
ETB083,École,Bizerte,82.56,89.52,24.69,42.27,7892,6,19.65,91.61
ETB084,École,Gabes,56.68,58.99,18.73,30.89,7431,4,15.25,58.47
ETB085,Institut,Gafsa,50.91,54.31,15.79,37.27,3084,1,10.47,53.04
ETB086,ISET,Gafsa,53.6,45.88,20.65,32.72,2878,18,25.4,46.4
ETB087,ISET,Tunis,78.89,84.53,14.02,34.6,3727,2,26.51,81.78
ETB088,École,Nabeul,68.48,71.75,17.82,23.98,4553,17,9.19,70.66
ETB089,École,Gafsa,56.45,51.9,23.42,22.24,7219,1,5.19,53.96
ETB090,ISET,Jendouba,70.04,68.68,27.16,24.67,6267,15,13.4,69.24
ETB091,Faculté,Gabes,56.09,58.41,28.03,19.66,5688,7,24.94,53.91
ETB092,Institut,Gafsa,77.85,79.12,17.59,41.23,7209,10,25.98,81.17
ETB093,École,Gabes,67.85,67.39,18.01,23.5,5698,6,8.46,69.7
ETB094,Faculté,Nabeul,65.24,65.72,25.0,31.84,3963,10,24.36,63.99
ETB095,Institut,Beja,62.06,61.8,12.86,38.76,4184,9,7.89,65.67
ETB096,École,Nabeul,75.21,76.97,25.93,38.51,4860,11,14.75,77.98
ETB097,Faculté,Ariana,64.47,72.83,17.35,28.15,2077,8,29.97,65.33
ETB098,Institut,Beja,53.51,41.67,7.9,29.29,6321,11,9.81,49.87
ETB099,Faculté,Bizerte,54.72,54.54,6.8,44.84,5743,16,8.85,56.53
ETB100,Institut,Gabes,88.48,90.36,26.05,35.24,6252,9,15.57,88.65
ETB101,Faculté,Beja,86.34,88.82,6.39,39.44,4970,7,20.49,86.92
ETB102,École,Tunis,77.99,77.13,12.02,42.08,6589,3,28.32,81.37
ETB103,ISET,Monastir,60.63,52.85,13.35,38.63,7673,7,29.52,57.89
ETB104,Faculté,Tunis,88.77,91.41,9.32,20.56,5204,3,6.74,91.04
ETB105,ISET,Ariana,81.15,90.79,12.85,31.87,4388,4,8.45,90.15
ETB106,Institut,Gabes,78.68,72.01,23.57,18.06,2179,19,24.77,65.59
ETB107,ISET,Gabes,67.97,73.29,5.37,34.59,6561,2,11.77,69.11
ETB108,Faculté,Gabes,60.89,60.25,25.68,43.66,7375,10,27.12,62.09
ETB109,Institut,Gabes,53.86,54.55,26.41,30.38,6046,16,21.59,54.6
ETB110,ISET,Bizerte,86.1,81.84,14.31,27.99,7126,19,7.8,87.84
ETB111,ISET,Gabes,68.23,67.56,8.84,16.08,7097,3,25.81,66.84
ETB112,Faculté,Ariana,58.09,65.59,20.02,43.79,6687,4,9.41,63.49
ETB113,ISET,Beja,62.24,66.15,7.99,18.09,4768,8,15.59,71.61
ETB114,Faculté,Ariana,73.17,82.83,14.12,16.23,2149,11,18.8,80.01
ETB115,Institut,Gafsa,57.07,63.96,28.96,22.38,1521,19,17.52,58.39
ETB116,École,Nabeul,84.26,87.46,29.89,16.97,2828,4,22.15,79.76
ETB117,Institut,Jendouba,80.34,90.06,24.3,28.65,4301,4,21.32,82.65
ETB118,Institut,Sfax,78.78,81.97,12.77,30.48,6333,5,29.8,75.89
ETB119,Faculté,Monastir,67.28,72.42,22.19,24.38,4462,17,29.99,70.42
ETB120,Institut,Sousse,75.09,74.61,22.64,16.53,1650,1,17.91,71.36
ETB121,ISET,Sousse,73.36,74.7,14.7,18.35,2867,8,7.38,69.14
ETB122,École,Beja,75.99,73.51,21.02,26.54,7864,3,23.2,73.16
ETB123,École,Tunis,53.38,59.33,5.27,16.82,7922,3,29.42,58.57
ETB124,ISET,Nabeul,66.63,61.74,10.23,35.95,3951,18,12.96,62.06
ETB125,Faculté,Beja,51.66,56.58,18.13,21.21,6732,1,16.53,55.98
ETB126,École,Jendouba,69.76,69.81,9.09,24.06,6175,7,15.62,66.87
ETB127,Institut,Monastir,63.19,70.05,9.15,26.82,7553,18,6.29,75.42
ETB128,École,Nabeul,55.78,60.54,25.91,27.5,7269,12,21.81,61.88
ETB129,ISET,Sfax,54.14,64.24,29.73,15.05,5586,2,13.83,58.6
ETB130,École,Nabeul,73.51,78.16,18.9,18.36,4065,9,24.69,68.89
ETB131,ISET,Sfax,56.82,49.96,25.98,40.88,5573,19,25.8,48.96
ETB132,Faculté,Kairouan,87.0,87.67,29.76,15.04,3574,8,25.53,86.1
ETB133,Institut,Sfax,73.24,68.38,8.54,30.25,3762,11,15.42,63.17
ETB134,Institut,Bizerte,63.87,62.28,16.21,29.69,5456,11,13.04,62.83
ETB135,Faculté,Monastir,73.64,82.19,14.81,24.99,5214,13,23.72,77.28
ETB136,Faculté,Kairouan,50.91,55.1,7.0,27.94,5276,4,25.03,56.83
ETB137,Institut,Beja,88.34,85.85,23.88,38.42,4000,16,17.28,82.67
ETB138,Institut,Gafsa,69.29,65.22,15.84,40.24,4159,19,27.33,66.98
ETB139,Institut,Gafsa,81.31,82.47,16.73,22.81,1566,3,8.6,79.49
ETB140,Faculté,Jendouba,53.31,48.23,8.77,24.67,5411,16,26.98,56.9
ETB141,Institut,Gabes,69.47,67.11,9.52,22.27,5242,16,7.4,70.51
ETB142,ISET,Bizerte,69.63,72.19,27.68,29.4,7579,15,8.84,74.11
ETB143,Faculté,Jendouba,87.51,94.29,6.12,35.5,4777,8,18.35,89.15
ETB144,École,Ariana,72.87,76.91,10.82,21.85,4539,9,6.69,79.88
ETB145,École,Gafsa,68.94,58.48,12.3,24.92,1939,16,6.32,59.09
ETB146,ISET,Kairouan,60.68,63.2,17.25,42.91,2778,3,5.01,57.93
ETB147,École,Sousse,63.26,64.62,19.66,16.46,3697,16,15.91,63.84
ETB148,École,Sousse,70.83,73.9,17.33,28.82,3951,18,24.37,68.57
ETB149,Institut,Sousse,67.56,76.64,7.1,36.35,3857,13,5.87,75.86
ETB150,Faculté,Sousse,50.86,41.55,11.09,19.51,4061,7,21.31,46.8
ETB151,ISET,Monastir,83.05,81.1,26.09,16.42,6497,11,25.58,82.01
ETB152,ISET,Tunis,85.85,89.8,20.94,19.15,2352,1,9.2,80.34
ETB153,Institut,Gafsa,55.61,48.7,21.23,42.56,3659,18,8.67,49.67
ETB154,Institut,Jendouba,72.16,80.54,21.76,15.28,2558,7,26.52,75.93
ETB155,Institut,Beja,54.34,57.18,24.07,20.65,3500,2,25.58,47.66
ETB156,ISET,Bizerte,76.89,82.12,6.45,15.94,5949,16,18.47,81.77
ETB157,ISET,Tunis,61.25,59.39,14.17,18.32,1803,13,25.48,59.86
ETB158,École,Nabeul,76.38,81.45,18.49,33.6,3706,12,7.32,79.47
ETB159,École,Tunis,79.08,85.42,13.46,22.25,1653,2,14.86,80.72
ETB160,Institut,Monastir,80.75,82.91,26.11,32.08,7706,15,23.44,87.86
ETB161,Faculté,Monastir,54.31,56.48,17.06,32.71,6227,13,11.44,59.03
ETB162,ISET,Sousse,86.64,88.99,24.22,40.48,3083,16,23.81,86.27
ETB163,ISET,Monastir,59.21,55.89,26.3,15.14,2788,16,17.6,61.27
ETB164,Institut,Sousse,51.5,51.76,17.62,40.6,2143,5,23.76,46.79
ETB165,École,Sousse,72.19,72.43,27.74,33.57,4573,5,16.62,66.91
ETB166,École,Beja,64.84,67.75,19.68,19.88,6397,18,14.2,70.56
ETB167,École,Jendouba,83.19,89.19,26.26,38.19,5297,11,10.48,86.89
ETB168,Institut,Kairouan,82.33,78.04,13.51,40.66,7226,9,10.21,80.27
ETB169,ISET,Jendouba,62.69,63.06,17.47,22.63,3734,6,23.79,58.27
ETB170,Institut,Nabeul,88.12,95.0,18.29,42.56,3307,13,7.97,96.73
ETB171,ISET,Beja,61.64,58.92,7.62,28.63,4607,15,7.15,63.23
ETB172,ISET,Sfax,70.6,67.49,14.96,33.1,2813,1,9.41,63.56
ETB173,Institut,Kairouan,60.24,62.25,27.93,44.54,7841,11,9.38,64.85
ETB174,École,Monastir,87.44,92.66,20.77,25.85,2707,19,25.58,88.33
ETB175,Institut,Jendouba,56.58,57.64,9.44,39.39,4612,6,14.96,56.9
ETB176,École,Beja,51.8,59.44,13.47,24.55,4893,6,29.76,58.12
ETB177,Institut,Gabes,67.4,72.69,9.79,38.98,1870,17,8.43,67.12
ETB178,ISET,Sousse,89.7,94.9,5.62,33.02,4544,2,21.34,93.66
ETB179,École,Jendouba,85.67,89.44,28.19,21.49,4455,8,16.22,90.12
ETB180,Institut,Kairouan,79.94,92.58,16.21,27.42,3186,9,14.82,87.99
ETB181,Faculté,Bizerte,85.63,85.61,12.69,24.53,2331,16,26.88,82.81
ETB182,Institut,Jendouba,85.74,76.72,19.96,17.34,1793,3,29.39,72.64
ETB183,École,Ariana,70.75,79.78,5.18,15.9,1555,9,26.82,74.36
ETB184,École,Kairouan,62.64,61.35,11.95,25.39,4629,3,9.81,61.17
ETB185,Institut,Tunis,80.88,82.42,22.58,15.57,2083,15,10.52,78.41
ETB186,Faculté,Gabes,76.47,84.01,20.84,19.96,7735,13,21.4,86.36
ETB187,Institut,Jendouba,64.95,57.94,29.55,36.76,3090,10,12.23,51.47
ETB188,Institut,Gabes,53.78,48.52,20.51,36.24,5741,8,23.37,51.57
ETB189,École,Monastir,79.87,72.87,16.94,37.16,5877,3,19.16,73.06
ETB190,Faculté,Kairouan,60.5,57.53,24.04,24.51,4720,18,18.77,59.14
ETB191,École,Beja,87.47,90.67,27.58,41.7,7243,13,25.71,86.16
ETB192,Faculté,Beja,59.64,63.26,23.02,32.81,2219,7,22.76,60.75
ETB193,École,Gafsa,54.91,57.29,29.08,18.78,3021,8,5.66,56.49
ETB194,Institut,Beja,83.24,77.18,24.55,19.31,3140,14,6.24,79.41
ETB195,Faculté,Ariana,56.13,45.58,26.67,35.79,2380,14,20.04,40.88
ETB196,Institut,Bizerte,57.17,58.44,7.85,20.19,3416,9,17.15,60.51
ETB197,Faculté,Monastir,73.98,72.62,23.31,30.22,3532,6,11.5,70.89
ETB198,ISET,Nabeul,84.98,88.28,16.0,44.75,6471,13,15.47,84.4
ETB199,Institut,Nabeul,57.86,62.37,18.83,15.12,3460,13,23.95,59.78
ETB200,École,Sousse,62.41,64.1,21.35,15.5,7198,12,25.67,66.25
