etudiant_id,niveau,filiere,moy_semestre_prec,note_cc1,note_cc2,note_cc3,taux_absence_actuel,pente_evolution,nb_matieres_sous_10,ratio_notes_obtenues,moyenne_finale
ETU00051,M2,Droit,7.73,16.24,15.8,17.54,7.31,1.29,2,0.712,11.94
ETU00052,M1,Droit,15.18,8.89,9.5,11.81,21.36,2.91,4,0.573,11.02
ETU00053,L1,Ingénierie,10.16,5.19,3.98,4.75,27.15,-0.44,0,0.808,7.78
ETU00054,L3,Gestion,18.11,10.95,10.59,11.88,1.83,0.93,1,0.978,12.9
ETU00055,M1,Informatique,17.29,14.55,13.81,16.07,8.88,1.51,1,0.513,14.2
ETU00056,L1,Gestion,11.87,15.53,16.73,16.76,0.88,1.23,5,0.613,13.94
ETU00057,L3,Médecine,13.55,10.79,11.24,11.66,0.22,0.87,5,0.937,12.54
ETU00058,L3,Droit,17.01,13.01,14.53,15.56,16.72,2.55,0,0.535,13.85
ETU00059,L1,Ingénierie,17.33,15.44,14.4,14.05,24.52,-1.38,2,0.505,14.48
ETU00060,M2,Médecine,13.24,17.45,17.34,20.0,13.41,2.55,3,0.939,14.12
ETU00061,L2,Droit,18.63,13.96,15.1,14.74,21.74,0.78,5,0.884,13.48
ETU00062,L2,Ingénierie,12.77,14.67,16.16,16.55,6.7,1.88,2,0.627,13.14
ETU00063,L1,Médecine,6.53,6.38,4.41,7.59,29.27,1.21,4,0.983,6.92
ETU00064,L1,Informatique,13.32,10.89,11.56,9.07,12.69,-1.82,4,0.856,11.51
ETU00065,L1,Médecine,16.1,17.45,16.43,17.05,24.75,-0.4,3,0.56,12.4
ETU00066,M1,Médecine,18.8,7.25,8.81,8.12,4.55,0.87,4,0.73,13.18
ETU00067,L2,Ingénierie,7.37,9.34,12.33,12.63,28.63,3.29,0,0.933,9.08
ETU00068,L3,Informatique,11.73,14.49,10.77,9.26,18.13,-5.23,1,0.834,8.37
ETU00069,M1,Informatique,13.63,17.63,16.85,16.59,33.96,-1.04,5,0.793,12.0
ETU00070,L2,Ingénierie,17.46,5.83,6.42,6.76,14.19,0.93,0,0.708,12.33
ETU00071,L3,Ingénierie,15.31,17.19,17.38,18.04,30.55,0.85,3,0.624,15.86
ETU00072,L3,Gestion,9.01,8.08,9.69,11.34,14.42,3.25,4,0.807,7.33
ETU00073,M2,Ingénierie,17.17,17.05,17.37,14.18,3.78,-2.87,3,0.577,16.25
ETU00074,M2,Informatique,14.64,17.45,16.85,16.97,24.07,-0.48,5,0.905,11.49
ETU00075,L2,Médecine,17.64,15.86,14.53,14.56,6.4,-1.29,5,0.605,16.41
ETU00076,L2,Gestion,16.85,17.93,16.35,16.55,27.99,-1.38,0,0.56,14.47
ETU00077,L3,Médecine,7.68,18.46,17.54,17.89,11.72,-0.57,3,0.536,10.77
ETU00078,L2,Ingénierie,18.49,17.95,17.3,16.36,26.47,-1.59,4,0.907,15.75
ETU00079,L3,Droit,11.91,12.18,12.96,10.94,16.85,-1.24,4,0.734,9.86
ETU00080,L3,Gestion,18.77,11.49,11.46,12.08,18.8,0.59,3,0.699,14.5
ETU00081,L3,Ingénierie,8.43,6.47,5.7,4.51,25.71,-1.97,2,0.761,6.88
ETU00082,L3,Gestion,16.31,8.03,6.71,7.62,23.28,-0.41,1,0.794,6.68
ETU00083,M2,Droit,9.96,14.13,13.28,12.17,23.25,-1.96,2,0.94,9.53
ETU00084,L1,Informatique,6.58,6.78,6.14,7.48,23.06,0.69,0,0.672,7.29
ETU00085,M1,Ingénierie,18.92,18.19,17.27,17.49,20.48,-0.7,5,0.594,17.12
ETU00086,L3,Ingénierie,9.95,8.18,9.39,9.71,28.25,1.53,4,0.935,9.35
ETU00087,M1,Gestion,7.05,6.23,8.48,8.41,10.5,2.18,1,0.74,9.25
ETU00088,L3,Droit,17.19,8.29,6.73,6.42,6.35,-1.87,0,0.79,10.92
ETU00089,M1,Droit,11.62,5.68,7.56,7.51,25.73,1.83,3,0.579,9.9
ETU00090,M1,Ingénierie,13.49,7.33,8.57,10.64,18.89,3.31,5,0.931,11.58
ETU00091,M1,Médecine,18.8,13.23,13.7,11.7,31.52,-1.53,5,0.969,11.74
ETU00092,L3,Informatique,12.25,9.05,11.54,10.87,33.78,1.82,1,0.724,11.77
ETU00093,M2,Médecine,6.87,16.22,16.16,18.05,30.35,1.83,2,0.51,10.91
ETU00094,L2,Droit,14.99,10.67,11.47,13.0,19.16,2.33,3,0.514,12.06
ETU00095,M1,Informatique,15.24,15.0,15.38,17.7,26.39,2.7,3,0.651,13.5
ETU00096,L2,Droit,8.52,14.92,15.19,15.4,11.7,0.49,1,0.746,9.91
ETU00097,M1,Informatique,13.09,6.9,7.79,6.11,0.52,-0.79,4,0.716,10.95
ETU00098,M2,Gestion,10.8,5.79,6.06,4.7,27.32,-1.09,4,0.784,8.26
ETU00099,L1,Médecine,6.65,16.79,17.69,17.54,27.35,0.75,4,0.629,11.22
ETU00100,M1,Droit,10.05,14.81,14.01,15.45,0.28,0.64,0,0.605,12.16
ETU00101,L3,Droit,17.82,7.45,6.69,6.61,30.23,-0.84,4,0.987,11.53
ETU00102,L2,Gestion,9.9,14.52,13.71,13.51,30.85,-1.01,2,0.64,10.21
ETU00103,L2,Ingénierie,8.9,9.61,9.27,10.16,11.22,0.55,4,0.973,10.47
ETU00104,M1,Gestion,18.23,5.79,7.51,7.86,0.6,2.06,3,0.786,13.35
ETU00105,M2,Ingénierie,10.97,8.2,7.71,7.35,30.66,-0.85,3,0.535,8.96
ETU00106,L2,Gestion,18.23,15.58,16.76,15.56,2.47,-0.02,3,0.798,15.49
ETU00107,L2,Gestion,17.44,10.47,11.07,12.79,8.13,2.32,1,0.993,11.66
ETU00108,M2,Médecine,12.12,12.63,12.17,14.04,18.99,1.41,3,0.92,9.2
ETU00109,M1,Médecine,11.0,6.91,9.08,7.79,28.58,0.88,5,0.652,8.43
ETU00110,M1,Droit,7.79,6.3,7.6,7.3,27.36,1.0,0,0.548,9.08
ETU00111,L3,Médecine,8.48,8.35,8.55,9.85,23.84,1.5,1,0.73,7.74
ETU00112,L1,Droit,9.02,11.62,11.69,10.29,29.0,-1.33,0,0.549,8.57
ETU00113,L1,Médecine,12.11,16.86,17.2,18.05,23.99,1.19,2,0.649,11.91
ETU00114,L1,Ingénierie,10.84,15.69,13.59,13.4,22.32,-2.28,1,0.959,9.76
ETU00115,L2,Ingénierie,16.4,7.24,6.2,4.68,5.87,-2.56,3,0.827,9.96
ETU00116,L1,Médecine,9.86,6.0,6.89,9.86,15.4,3.86,0,0.892,9.47
ETU00117,L3,Gestion,11.52,8.16,5.98,5.77,15.8,-2.39,0,0.77,8.52
ETU00118,L1,Médecine,7.6,16.93,16.01,17.1,0.65,0.17,1,0.584,10.98
ETU00119,M2,Médecine,9.53,12.22,11.83,10.45,14.19,-1.77,3,0.575,9.18
ETU00120,L3,Gestion,16.18,16.3,20.0,20.0,7.95,3.7,0,0.883,16.32
ETU00121,L1,Ingénierie,15.19,10.17,11.38,14.61,3.14,4.43,3,0.715,13.68
ETU00122,L1,Médecine,11.23,13.27,15.11,13.16,19.12,-0.11,3,0.75,9.2
ETU00123,L1,Droit,13.51,13.33,12.32,12.37,8.3,-0.95,1,0.589,11.46
ETU00124,M1,Informatique,11.96,13.77,14.52,16.81,6.66,3.03,0,0.681,12.81
ETU00125,M1,Médecine,17.64,11.58,9.14,8.74,27.54,-2.84,4,0.566,12.73
ETU00126,L3,Gestion,11.13,8.35,8.05,8.97,28.35,0.62,2,0.602,9.44
ETU00127,M1,Médecine,15.39,11.0,11.96,9.74,23.13,-1.26,3,0.944,12.92
ETU00128,L1,Droit,8.84,18.65,16.72,15.84,6.64,-2.81,4,0.858,10.06
ETU00129,L2,Médecine,11.64,8.81,9.6,10.36,22.14,1.55,0,0.926,10.77
ETU00130,L1,Ingénierie,12.88,15.15,16.06,15.48,24.97,0.33,4,0.937,15.0
ETU00131,L3,Informatique,7.36,18.23,17.52,17.28,8.17,-0.94,0,0.795,11.71
ETU00132,L1,Informatique,13.64,12.93,11.88,9.9,4.65,-3.03,3,0.652,12.0
ETU00133,M1,Médecine,13.47,11.85,10.98,12.26,15.17,0.41,0,0.746,12.56
ETU00134,L3,Droit,8.06,6.69,6.37,4.66,14.85,-2.03,0,0.509,6.79
ETU00135,M1,Médecine,18.98,15.55,15.27,17.88,5.37,2.34,2,0.909,15.04
ETU00136,L3,Informatique,7.2,17.76,18.73,18.0,6.71,0.24,3,0.901,11.77
ETU00137,L1,Ingénierie,17.64,18.73,18.13,19.63,17.49,0.9,1,0.754,14.17
ETU00138,L2,Gestion,12.39,7.82,10.43,11.78,18.46,3.96,1,0.689,11.41
ETU00139,L1,Informatique,8.9,17.88,20.0,19.3,18.83,1.41,1,0.586,13.23
ETU00140,L1,Droit,7.47,10.18,10.74,10.17,34.37,-0.01,3,0.538,6.23
ETU00141,M2,Ingénierie,15.09,13.67,13.35,12.97,1.39,-0.7,2,0.662,13.63
ETU00142,M2,Informatique,15.81,8.13,7.53,7.25,27.52,-0.88,5,0.969,10.45
ETU00143,L1,Droit,14.75,8.48,9.15,7.51,12.31,-0.97,2,0.534,12.94
ETU00144,L3,Ingénierie,11.46,13.67,14.6,15.7,26.35,2.04,3,0.975,13.31
ETU00145,L2,Droit,8.24,11.79,11.69,10.95,25.74,-0.83,5,0.764,9.98
ETU00146,L3,Informatique,16.26,18.5,18.11,18.24,21.69,-0.26,5,0.72,16.4
ETU00147,M1,Gestion,17.33,8.7,9.43,11.24,22.09,2.54,2,0.561,12.23
ETU00148,L2,Droit,11.09,17.29,17.6,18.75,23.23,1.46,1,0.536,13.24
ETU00149,M2,Médecine,16.94,11.45,10.79,10.16,26.17,-1.29,2,0.772,12.21
ETU00150,L1,Informatique,14.26,6.88,7.25,9.11,4.61,2.23,1,0.799,10.02
ETU00151,L3,Gestion,12.85,8.35,7.64,8.94,12.63,0.59,2,0.717,10.52
ETU00152,M1,Informatique,13.94,15.58,14.65,13.89,29.47,-1.69,0,0.644,12.56
ETU00153,L3,Droit,7.4,16.57,16.77,16.29,19.18,-0.28,2,0.507,10.61
ETU00154,M1,Droit,7.63,5.55,4.89,6.69,4.79,1.14,0,0.633,7.61
ETU00155,M1,Médecine,15.45,10.74,9.84,11.31,33.66,0.57,5,0.857,11.61
ETU00156,L1,Gestion,18.61,11.92,13.69,11.73,34.57,-0.19,0,0.803,14.81
ETU00157,M1,Ingénierie,12.6,13.61,13.22,12.01,17.94,-1.6,5,0.579,10.82
ETU00158,L2,Informatique,6.7,14.11,17.07,18.42,18.66,4.31,5,0.897,9.13
ETU00159,L1,Gestion,6.88,16.63,17.77,16.31,10.22,-0.32,5,0.574,11.66
ETU00160,L3,Informatique,12.08,8.83,7.8,9.3,18.07,0.48,2,0.898,11.08
ETU00161,M1,Ingénierie,14.55,6.57,8.51,11.71,33.91,5.14,4,0.756,11.31
ETU00162,L2,Gestion,8.01,7.61,6.74,7.6,8.91,-0.01,5,0.858,6.56
ETU00163,L1,Informatique,6.43,18.12,20.0,20.0,10.66,1.88,5,0.542,11.51
ETU00164,M2,Médecine,15.48,12.65,13.19,13.76,31.41,1.1,5,0.87,12.92
ETU00165,M2,Ingénierie,7.9,8.07,9.08,10.93,13.45,2.87,2,0.861,7.55
ETU00166,L3,Ingénierie,11.7,16.0,16.25,16.7,34.04,0.69,4,0.588,11.15
ETU00167,L2,Gestion,15.54,13.22,13.82,14.84,12.24,1.62,1,0.569,13.55
ETU00168,M2,Informatique,7.63,10.14,10.0,9.1,0.16,-1.04,5,0.874,10.27
ETU00169,L2,Gestion,11.76,5.26,4.07,3.28,33.38,-1.97,2,0.708,7.98
ETU00170,L2,Informatique,7.45,15.96,16.67,18.33,8.29,2.37,1,0.824,10.89
ETU00171,L2,Médecine,10.52,15.04,16.78,16.01,24.29,0.97,1,0.505,11.69
ETU00172,L3,Gestion,17.86,8.67,7.08,3.5,1.66,-5.17,5,0.592,10.85
ETU00173,M1,Droit,14.92,8.72,11.23,11.07,26.19,2.35,1,0.873,11.29
ETU00174,L2,Médecine,6.3,8.8,9.9,10.67,7.7,1.87,4,0.599,9.18
ETU00175,L1,Droit,7.75,14.39,13.93,15.82,28.01,1.43,1,0.54,7.93
ETU00176,M2,Gestion,9.82,9.12,8.64,11.4,33.83,2.29,3,0.588,10.64
ETU00177,L1,Gestion,17.64,9.35,12.34,12.77,1.58,3.42,3,0.916,16.65
ETU00178,L3,Gestion,15.71,10.27,11.88,13.17,12.88,2.9,3,0.673,13.14
ETU00179,L1,Informatique,14.03,18.72,20.0,20.0,25.05,1.28,1,0.765,13.71
ETU00180,M1,Droit,7.98,11.44,11.26,12.1,34.88,0.65,5,0.789,10.12
ETU00181,L2,Gestion,18.08,10.28,11.32,11.34,12.71,1.05,5,0.686,13.76
ETU00182,L1,Médecine,16.51,11.58,12.3,13.18,34.82,1.6,5,0.547,12.0
ETU00183,L1,Gestion,9.11,15.07,15.01,14.21,31.47,-0.86,2,0.628,9.36
ETU00184,L3,Droit,11.26,17.37,17.74,20.0,25.18,2.63,1,0.579,12.7
ETU00185,L1,Ingénierie,11.57,18.87,20.0,17.45,13.37,-1.42,3,0.955,13.68
ETU00186,L3,Médecine,13.64,11.8,14.4,15.56,18.79,3.76,0,0.87,13.98
ETU00187,M2,Gestion,10.87,11.44,11.26,12.04,25.21,0.6,4,0.912,10.62
ETU00188,L2,Informatique,8.73,9.62,7.85,8.71,24.0,-0.91,1,0.906,9.02
ETU00189,M2,Médecine,14.67,15.91,18.57,17.1,10.09,1.19,1,0.501,14.16
ETU00190,M1,Gestion,14.81,14.18,16.86,14.65,19.5,0.47,4,0.875,14.43
ETU00191,L1,Informatique,11.75,10.09,10.89,12.1,29.23,2.01,3,0.741,10.22
ETU00192,L3,Médecine,12.33,12.26,15.15,17.46,16.63,5.2,0,0.887,15.08
ETU00193,L3,Ingénierie,6.66,7.88,8.57,9.2,19.82,1.32,5,0.98,6.78
ETU00194,L3,Médecine,11.93,14.72,13.55,15.06,11.46,0.34,3,0.679,12.68
ETU00195,L3,Ingénierie,16.41,8.53,6.76,6.37,5.6,-2.16,1,0.802,14.26
ETU00196,L2,Informatique,13.69,9.89,8.11,8.91,2.31,-0.99,2,0.652,12.48
ETU00197,L3,Ingénierie,17.97,5.95,6.16,8.3,14.21,2.35,2,0.947,12.99
ETU00198,M1,Gestion,15.31,8.08,7.58,7.41,22.11,-0.67,5,0.627,11.05
ETU00199,M2,Droit,16.11,7.73,7.06,9.14,26.6,1.41,3,0.676,11.31
ETU00200,L1,Gestion,11.96,15.29,15.33,13.18,2.94,-2.11,4,0.944,12.12
ETU00201,L1,Médecine,8.25,14.72,16.21,15.59,11.15,0.87,0,0.55,10.59
ETU00202,L3,Ingénierie,17.86,12.53,11.91,13.03,28.28,0.5,3,0.747,11.66
ETU00203,L3,Ingénierie,14.57,10.42,9.55,12.7,3.93,2.28,0,0.791,13.33
ETU00204,M2,Gestion,17.82,17.45,16.93,17.25,34.76,-0.2,2,0.79,13.16
ETU00205,L3,Droit,14.03,17.38,18.96,17.71,22.14,0.33,3,0.56,14.83
ETU00206,L2,Ingénierie,11.91,13.44,13.53,16.65,32.9,3.22,5,0.52,11.27
ETU00207,M2,Gestion,7.75,14.21,14.83,14.94,25.56,0.73,1,0.708,9.1
ETU00208,M2,Ingénierie,11.17,16.15,18.68,19.98,33.74,3.83,1,0.727,14.61
ETU00209,L1,Droit,13.77,15.12,19.58,19.38,23.29,4.26,5,0.971,12.29
ETU00210,M2,Droit,18.1,8.15,9.31,9.82,9.38,1.67,3,0.878,12.22
ETU00211,L2,Ingénierie,16.78,12.05,13.06,12.52,28.01,0.47,4,0.799,12.32
ETU00212,L2,Ingénierie,12.67,7.13,5.55,9.24,7.91,2.11,5,0.605,10.22
ETU00213,L1,Ingénierie,11.82,16.33,17.08,19.17,19.78,2.84,0,0.951,12.62
ETU00214,L1,Informatique,6.43,14.15,14.44,17.4,13.06,3.25,3,0.597,12.1
ETU00215,L1,Informatique,10.57,18.71,20.0,19.36,27.97,0.66,0,0.974,11.46
ETU00216,M1,Informatique,18.76,6.91,6.52,4.09,26.58,-2.83,5,0.973,16.12
ETU00217,M2,Droit,15.63,12.14,12.64,12.5,30.24,0.36,2,0.989,11.26
ETU00218,M2,Droit,12.82,15.14,16.24,20.0,8.64,4.86,2,0.642,17.51
ETU00219,L3,Gestion,17.21,17.14,20.0,20.0,34.91,2.86,1,0.569,16.96
ETU00220,L2,Médecine,6.3,16.95,19.49,20.0,28.19,3.05,3,0.814,10.94
ETU00221,M2,Gestion,18.45,7.83,9.93,8.69,13.53,0.86,3,0.711,13.16
ETU00222,M2,Ingénierie,15.1,18.75,20.0,19.1,4.47,0.35,5,0.694,14.91
ETU00223,L3,Gestion,6.17,18.74,18.29,18.47,12.23,-0.27,0,0.778,11.79
ETU00224,L2,Droit,15.17,18.57,19.86,20.0,3.72,1.43,4,0.845,14.73
ETU00225,M2,Informatique,7.08,13.59,12.63,14.58,21.54,0.99,5,0.666,10.33
ETU00226,L2,Informatique,14.31,16.65,16.54,13.76,3.95,-2.89,5,0.668,13.77
ETU00227,L3,Informatique,9.91,6.06,8.93,10.23,15.07,4.17,3,0.805,8.12
ETU00228,M2,Informatique,8.76,8.58,9.58,8.16,23.36,-0.42,4,0.536,8.88
ETU00229,L1,Informatique,14.17,6.29,6.83,6.11,15.86,-0.18,0,0.85,10.71
ETU00230,L2,Droit,11.64,12.08,12.81,13.88,30.86,1.8,0,0.9,10.36
ETU00231,L2,Médecine,6.84,18.51,18.57,20.0,8.43,1.49,4,0.94,11.3
ETU00232,M1,Médecine,16.69,14.09,11.05,13.38,18.34,-0.71,1,0.877,14.09
ETU00233,L1,Ingénierie,9.46,11.46,9.76,10.56,31.96,-0.9,4,0.753,10.34
ETU00234,L1,Droit,14.04,16.1,17.23,18.04,12.36,1.94,4,0.937,13.89
ETU00235,L2,Informatique,13.92,12.7,11.52,13.84,16.54,1.14,4,0.745,13.36
ETU00236,L2,Ingénierie,6.73,11.41,11.45,9.38,32.65,-2.02,5,0.894,9.19
ETU00237,M1,Ingénierie,18.97,13.81,12.17,15.21,17.48,1.4,1,0.532,16.47
ETU00238,M2,Gestion,11.82,12.17,11.29,10.48,30.25,-1.68,4,0.855,10.79
ETU00239,L3,Ingénierie,8.67,13.98,14.18,14.87,32.92,0.88,4,0.542,9.05
ETU00240,L2,Droit,11.68,16.24,17.82,17.38,8.96,1.14,1,0.514,14.39
ETU00241,M1,Gestion,13.84,11.47,13.36,11.93,27.5,0.45,1,0.751,11.64
ETU00242,M1,Informatique,6.04,10.81,9.91,10.9,22.88,0.09,3,0.56,8.58
ETU00243,L1,Ingénierie,9.9,12.82,13.48,14.14,34.54,1.31,5,0.663,9.5
ETU00244,M2,Médecine,12.97,17.67,15.73,15.87,20.49,-1.8,3,0.887,12.24
ETU00245,L3,Droit,15.03,10.92,11.21,11.28,27.75,0.36,0,0.775,11.17
ETU00246,M1,Médecine,10.07,16.87,18.5,20.0,12.1,3.13,2,0.867,11.49
ETU00247,L1,Médecine,11.25,13.64,13.74,17.33,21.22,3.69,2,0.892,11.35
ETU00248,M2,Droit,8.88,5.17,7.35,9.53,27.25,4.35,3,0.74,6.9
ETU00249,M2,Gestion,9.81,11.67,13.12,13.84,33.84,2.17,3,0.993,10.87
ETU00250,M2,Droit,14.94,7.95,8.51,6.35,8.81,-1.59,5,0.601,9.57
ETU00251,L3,Médecine,10.38,7.11,6.93,8.17,2.76,1.07,5,0.542,8.4
ETU00252,L1,Informatique,9.64,8.28,7.68,8.99,34.17,0.71,3,0.659,8.38
ETU00253,L3,Informatique,9.88,14.97,12.99,14.44,21.09,-0.53,0,0.881,13.25
ETU00254,M1,Ingénierie,13.96,13.78,12.04,10.63,0.6,-3.15,1,0.548,11.64
ETU00255,L3,Droit,13.29,12.52,14.21,15.78,18.2,3.27,1,0.733,11.11
ETU00256,L3,Médecine,11.29,11.93,14.4,17.05,32.76,5.11,3,0.786,10.02
ETU00257,L2,Droit,14.22,10.45,9.03,7.85,34.45,-2.6,0,0.904,9.53
ETU00258,M1,Ingénierie,14.36,17.41,17.71,19.04,11.4,1.63,1,0.923,13.94
ETU00259,L3,Gestion,6.17,18.05,15.89,14.97,27.37,-3.08,0,0.619,12.72
ETU00260,M1,Informatique,10.41,15.7,14.44,14.58,16.05,-1.12,4,0.637,12.61
ETU00261,L1,Médecine,9.18,9.04,9.62,8.5,13.93,-0.53,1,0.842,8.73
ETU00262,L2,Gestion,16.78,17.79,17.22,16.99,26.54,-0.8,5,0.93,16.87
ETU00263,M2,Médecine,9.58,16.47,13.79,13.58,9.45,-2.89,2,0.584,10.47
ETU00264,M1,Droit,10.12,6.74,9.51,10.43,14.92,3.7,4,0.861,9.0
ETU00265,M1,Gestion,12.99,9.78,9.91,11.55,8.63,1.76,3,0.619,10.81
ETU00266,L3,Droit,13.12,9.59,8.13,10.25,4.99,0.67,5,0.59,12.19
ETU00267,L3,Droit,16.54,15.22,15.61,14.93,13.28,-0.29,0,0.669,14.44
ETU00268,M1,Droit,11.04,12.33,12.41,13.25,33.57,0.92,4,0.897,12.31
ETU00269,M1,Gestion,9.66,8.74,9.57,8.22,14.66,-0.51,3,0.871,9.61
ETU00270,L3,Gestion,13.91,8.23,7.92,8.06,23.91,-0.18,2,0.739,11.49
ETU00271,M2,Gestion,15.47,11.41,12.08,12.44,9.98,1.04,4,0.857,10.65
ETU00272,L2,Droit,18.9,14.32,15.94,14.86,30.29,0.53,3,0.703,12.76
ETU00273,L2,Ingénierie,14.04,12.12,10.34,11.48,21.87,-0.64,3,0.605,9.6
ETU00274,M1,Gestion,12.38,8.65,7.81,7.88,33.27,-0.77,3,0.922,8.88
ETU00275,M1,Médecine,7.73,13.68,15.14,15.67,11.41,1.99,0,0.527,9.02
ETU00276,L3,Informatique,18.83,18.98,18.36,20.0,18.83,1.02,2,0.951,18.15
ETU00277,M2,Informatique,14.9,7.47,7.55,7.21,6.69,-0.26,5,0.894,10.67
ETU00278,M2,Médecine,8.15,12.4,11.89,13.47,4.76,1.07,0,0.862,11.11
ETU00279,L2,Médecine,11.98,10.26,9.85,12.31,20.49,2.05,1,0.785,10.28
ETU00280,M1,Médecine,13.28,8.06,7.52,9.89,28.12,1.83,4,0.905,11.15
ETU00281,M2,Droit,8.82,17.26,15.57,15.59,6.99,-1.67,0,0.514,9.35
ETU00282,M2,Gestion,15.52,18.41,19.3,18.14,24.6,-0.27,0,0.796,14.91
ETU00283,L3,Informatique,14.45,9.9,11.7,10.93,23.5,1.03,4,0.631,12.19
ETU00284,M1,Ingénierie,9.04,9.86,9.8,7.72,16.89,-2.14,1,0.82,9.59
